"source","filename","time2scrape"
"netlib","32","0.539"
"dmccooey","SimplestC2v_1.txt","0.54"
"dmccooey","SmallRhombihexahedron.txt","0.54"
"dmccooey","BiscribedRpentagonalIcositetrahedron.txt","0.541"
"dmccooey","SimplestI_2.txt","0.543"
"dmccooey","SelfDualDecahedron11.txt","0.545"
"netlib","16","0.545"
"dmccooey","GeodesicCube7.txt","0.546"
"dmccooey","GeodesicCube11.txt","0.548"
"dmccooey","RectifiedRhombicosidodecahedron.txt","0.548"
"dmccooey","RegularHexagonalToroid14A_Knot.txt","0.548"
"dmccooey","SelfDualHexadecahedron8.txt","0.549"
"dmccooey","RegularTriangularToroid20.txt","0.55"
"dmccooey","EqualEdgeTetracontahedron.txt","0.555"
"netlib","5","0.555"
"dmccooey","SelfDualPentadecahedron4.txt","0.556"
"dmccooey","SelfDualTridecahedron34.txt","0.557"
"dmccooey","GeodesicCube14.txt","0.559"
"dmccooey","SimplestD2v_2.txt","0.56"
"dmccooey","SelfDualTetradecahedron7.txt","0.562"
"dmccooey","PropelloOctahedron.txt","0.563"
"dmccooey","ChamferedIcosahedron1.txt","0.565"
"dmccooey","SelfDualTetracontahedron2.txt","0.566"
"netlib","111","0.566"
"netlib","134","0.566"
"dmccooey","HeptagonalDodecahedronD3.txt","0.567"
"netlib","42","0.568"
"dmccooey","AntiHeptagonalIrisToroid.txt","0.571"
"dmccooey","RegularTriangularToroid22.txt","0.573"
"netlib","96","0.573"
"dmccooey","BiscribedTruncatedIcosidodecahedron.txt","0.576"
"dmccooey","RegularHexagonalToroid14A3.txt","0.576"
"dmccooey","SimplestC2v_2.txt","0.576"
"netlib","80","0.577"
"dmccooey","SelfDualHexadecahedron17.txt","0.579"
"dmccooey","LpropelloLsnubCube.txt","0.58"
"dmccooey","DeltoidalHexecontahedron.txt","0.582"
"netlib","22","0.583"
"dmccooey","SelfDualOctahedron2.txt","0.585"
"dmccooey","TetradyakisHexahedron.txt","0.586"
"dmccooey","MedialRhombicTriacontahedron.txt","0.588"
"dmccooey","SelfDualDodecahedron38.txt","0.589"
"dmccooey","TriakisOctahedron.txt","0.591"
"netlib","74","0.591"
"dmccooey","HeptagrammicCrossedAntiprism.txt","0.594"
"dmccooey","SimplestTh_1.txt","0.594"
"dmccooey","SelfDualDecahedron12.txt","0.595"
"dmccooey","BiscribedTetrakisHexahedron.txt","0.596"
